Price	Brand	Screen Size	Screen Type	CPU Brand	CPU Type	CPU Gen	Ram	Capacity	Storage Type	GPU	OS	Weight
11990.0	acer	14	fhd	intel	3	10	4	256	ssd	uhd 620	win10	1.6
9990.0	acer	15	fhd	intel	3	7	4	256	ssd	hd 620	win10	1.7
15999.0	acer	15	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.6
13499.0	acer	15	fhd	intel	3	8	4	1000	hdd	uhd 620	win10	1.6
14499.0	acer	14	fhd	intel	3	8	4	256	ssd	uhd 620	win10	1.5
22490.0	acer	15	fhd	intel	5	9	8	512	ssd	gtx 1050	win10	2.3
15990.0	acer	15	fhd	intel	5	10	8	512	ssd	uhd 620	win10	1.7
17990.0	acer	15	fhd	intel	5	10	8	1000	ssd	uhd 620	win10	1.7
21990.0	acer	15	fhd	intel	5	9	8	256	ssd	gtx 1050	win10	2.3
18999.0	acer	15	fhd	amd	5	3	8	256	ssd	radeon rx 560x	win10	2.3
10990.0	acer	15	fhd	intel	3	8	4	256	ssd	uhd 620	win10	1.7
18990.0	acer	15	fhd	intel	5	8	8	512	ssd	gtx 1050	win10	2.5
12990.0	acer	14	fhd	amd	3	3	4	256	ssd	radeon vega 3	win10	1.5
14990.0	acer	15	hd	intel	5	8	4	1000	hdd	uhd 620	win10	2.0
23990.0	acer	14	fhd	intel	5	8	8	256	ssd	uhd 620	win10	1.0
14990.0	acer	14	hd	intel	5	8	4	1000	hdd	uhd 620	win10	1.9
14990.0	acer	15	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	2.1
25490.0	acer	15	fhd	intel	5	9	8	512	ssd	gtx 1650	win10	2.3
14990.0	acer	14	fhd	amd	5	3	4	256	ssd	radeon vega 8	win10	1.5
27990.0	acer	15	fhd	intel	7	9	8	256	ssd	gtx 1650	win10	2.3
13990.0	acer	14	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.7
13899.0	acer	14	fhd	intel	3	7	4	1000	hdd	hd 620	win10	1.7
17999.0	acer	14	fhd	intel	5	8	4	256	ssd	uhd 620	win10	1.5
13990.0	acer	15	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.7
10390.0	acer	14	hd	intel	3	8	4	1000	hdd	uhd 620	win10	1.8
18790.0	acer	14	fhd	intel	5	8	8	256	ssd	uhd 620	win10	1.5
7790.0	acer	15	hd	intel	1	5	4	256	ssd	uhd 605	win10	1.7
19999.0	acer	15	fhd	intel	5	8	8	1000	hdd	mx150	win10	2.1
28490.0	acer	15	fhd	intel	7	9	8	512	ssd	gtx 1650	win10	2.3
24990.0	acer	15	fhd	intel	5	9	8	256	ssd	gtx 1650	win10	2.3
11990.0	acer	15	fhd	intel	3	10	8	512	ssd	uhd	win10	1.7
37990.0	acer	15	fhd	intel	7	9	8	256	ssd	gtx 1660 ti	win10	2.4
