Keyword	Mark
['128', 'ddr', 'radeon', '9700', 'tx', 'w/tv-out']	44
['128mb', 'ddr', 'radeon', '9800', 'pro']	66
['128mb', 'radeon', 'x600', 'se']	49
['256mb', 'radeon', 'x600']	67
['7900', 'mod', '-', 'radeon', 'hd', '6520g']	610
['a6', 'micro-6500t', 'quad-core', 'apu', 'with', 'radeonr4']	220
['abit', 'siluro', 't400']	3
['all-in-wonder', '9000']	4
['all-in-wonder', 'radeon', '8500dv']	5
['all-in-wonder', 'x1900']	127
['all-in-wonder', 'x800', 'gt']	84
['asus', 'eah4870x2']	496
['barco', 'mxrt', '5400']	1161
['barco', 'mxrt', '5450']	992
['barco', 'mxrt', '7500']	4319
['embedded', 'radeon', 'e9173']	1996
['familia', 'intel', 'q33', 'express', 'chipset']	10
['famille', 'de', 'jeu', 'de', 'puces', 'express', 'intel', '946gz']	7
['firegl', 't2-128']	30
['firegl', 'v3100']	52
['firegl', 'v3200']	84
['firegl', 'v3300']	70
['firegl', 'v3350']	68
['firegl', 'v3400']	103
['firegl', 'v3600']	179
['firegl', 'v5100']	92
['firegl', 'v5200']	114
['firegl', 'v5600']	341
['firegl', 'v7200']	116
['firegl', 'v7300']	128
['firegl', 'v7350']	110
['firegl', 'v7600']	615
['firegl', 'v7700']	660
['firegl', 'v8650']	550
['firegl', 'x1']	59
['firemv', '2200', 'pcie']	36
['firemv', '2250']	45
['firemv', '2260']	117
['firemv', '2400', 'pcie']	11
['firepro', '2260']	113
['firepro', '2270']	226
['firepro', '2450']	51
['firepro', '2460']	215
['firepro', '3d', 'v3700']	178
['firepro', '3d', 'v3750']	341
['firepro', '3d', 'v3800']	472
['firepro', '3d', 'v4800']	1167
['firepro', '3d', 'v5700']	546
['firepro', '3d', 'v5800']	1489
['firepro', '3d', 'v7750']	545
['firepro', '3d', 'v7800']	1834
['firepro', '3d', 'v8700']	1206
['firepro', '3d', 'v8750']	1271
['firepro', '3d', 'v8800']	2437
['firepro', '3d', 'v9800']	2811
