Name	Price	Brand	Screen Size	Screen Type	CPU Brand	CPU Type	CPU Gen	Ram	Capacity	Storage Type	GPU	OS	Weight
Aspire 5 A514-52-33AB (NX.HMHSV.001)	11990.0	acer	14	fhd	intel	3	10	4	256	ssd	uhd 620	win10	1.6
Aspire 3 A315-54K-36QU (NX.HEESV.007)	9990.0	acer	15	fhd	intel	3	7	4	256	ssd	hd 620	win10	1.7
Swift 3 SF315-52-52Z7 (NX.GZBSV.004)	15999.0	acer	15	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.6
Swift 3 SF315-52-38YQ (NX.GZBSV.003)	13499.0	acer	15	fhd	intel	3	8	4	1000	hdd	uhd 620	win10	1.6
Swift 3 SF314-56-38UE (NX.H4CSV.005)	14499.0	acer	14	fhd	intel	3	8	4	256	ssd	uhd 620	win10	1.5
Nitro 5 AN515-54-59SF (NH.Q5ASV.013)	22490.0	acer	15	fhd	intel	5	9	8	512	ssd	gtx 1050	win10	2.3
Aspire 5 A515-54-54EU (NX.HN3SV.002)	15990.0	acer	15	fhd	intel	5	10	8	512	ssd	uhd 620	win10	1.7
Aspire 5 A515-54G-51J3 (NX.HN5SV.003)	17990.0	acer	15	fhd	intel	5	10	8	1000	ssd	uhd 620	win10	1.7
Nitro 5 AN515-54-51X1 (NH.Q5ASV.011)	21990.0	acer	15	fhd	intel	5	9	8	256	ssd	gtx 1050	win10	2.3
Nitro 5 AN515-43-R84R (NH.Q5XSV.001)	18999.0	acer	15	fhd	amd	5	3	8	256	ssd	radeon rx 560x	win10	2.3
Aspire 3 A315-54-3501 (NX.HEFSV.003)	10990.0	acer	15	fhd	intel	3	8	4	256	ssd	uhd 620	win10	1.7
Nitro 5 AN515-52-53PC (NH.Q3MSV.00B)	18990.0	acer	15	fhd	intel	5	8	8	512	ssd	gtx 1050	win10	2.5
Swift 3 SF314-41-R4J1 (NX.HFDSV.001)	12990.0	acer	14	fhd	amd	3	3	4	256	ssd	radeon vega 3	win10	1.5
Aspire 5 A515-53-50ZD (NX.H6DSV.001)	14990.0	acer	15	hd	intel	5	8	4	1000	hdd	uhd 620	win10	2.0
Swift 5 SF514-53T-58PN (NX.H7HSV.001)	23990.0	acer	14	fhd	intel	5	8	8	256	ssd	uhd 620	win10	1.0
Aspire 5 A514-51-58ZJ (NX.H6XSV.001)	14990.0	acer	14	hd	intel	5	8	4	1000	hdd	uhd 620	win10	1.9
Aspire 5 A515-53-5112 (NX.H6DSV.002)	14990.0	acer	15	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	2.1
Nitro 5 AN515-54-595D (NH.Q59SV.025)	25490.0	acer	15	fhd	intel	5	9	8	512	ssd	gtx 1650	win10	2.3
Swift 3 SF314-41-R8VS (NX.HFDSV.002)	14990.0	acer	14	fhd	amd	5	3	4	256	ssd	radeon vega 8	win10	1.5
Nitro 5 AN515-54-71HS (NH.Q59SV.018)	27990.0	acer	15	fhd	intel	7	9	8	256	ssd	gtx 1650	win10	2.3
Aspire 5 A514-52-54L3 (NX.HDTSV.003)	13990.0	acer	14	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.7
Spin 3 SP314-51-36JE (NX.GUWSV.005)	13899.0	acer	14	fhd	intel	3	7	4	1000	hdd	hd 620	win10	1.7
Swift 3 SF314-56-596E (NX.H4CSV.006)	17999.0	acer	14	fhd	intel	5	8	4	256	ssd	uhd 620	win10	1.5
Aspire 5 A515-54-59KT (NX.HFNSV.009)	13990.0	acer	15	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.7
Aspire E5-476-399X (NX.GWTSV.008)	10390.0	acer	14	hd	intel	3	8	4	1000	hdd	uhd 620	win10	1.8
