name	salary
Stephen Curry	40231.758
Russell Westbrook	38506.482
Chris Paul	38506.482
James Harden	38199.0
John Wall	38199.0
LeBron James	37436.858
Kevin Durant	37199.0
Blake Griffin	34449.964
Kyle Lowry	33296.296
Paul George	33005.556
Klay Thompson	32742.0
Kemba Walker	32742.0
Kawhi Leonard	32742.0
Jimmy Butler	32742.0
Tobias Harris	32742.0
Gordon Hayward	32700.69
Mike Conley	32511.623
Kyrie Irving	31742.0
Khris Middleton	30603.448
Paul Millsap	30000.0
Damian Lillard	29802.321
Kevin Love	28942.83
Al Horford	28000.0
Nikola Vucevic	28000.0
DeMar DeRozan	27739.975
CJ McCollum	27556.959
Nikola Jokic	27504.63
Andrew Wiggins	27504.63
Joel Embiid	27504.63
Kristaps Porzingis	27285.0
Karl-Anthony Towns	27285.0
Devin Booker	27285.0
D'Angelo Russell	27285.0
Otto Porter	27250.576
Anthony Davis	27093.019
Andre Drummond	27093.018
Bradley Beal	27093.018
Hassan Whiteside	27093.018
Jrue Holiday	26131.111
LaMarcus Aldridge	26000.0
Giannis Antetokounmpo	25842.697
Steven Adams	25842.697
Marc Gasol	25595.7
Nicolas Batum	25565.217
Chandler Parsons	25102.512
Rudy Gobert	24258.427
Harrison Barnes	24147.727
Serge Ibaka	23271.604
Danilo Gallinari	22615.559
Victor Oladipo	21000.0
Tim Hardaway Jr	20025.127
Malcolm Brogdon	20000.0
Terry Rozier	19894.737
Aaron Gordon	19863.636
Zach LaVine	19500.0
Kent Bazemore	19269.663
Tyler Johnson	19245.37
Goran Dragic	19217.9
Jeff Teague	19000.0
Evan Turner	18606.556
Draymond Green	18539.13
Tristan Thompson	18539.13
Allen Crabbe	18500.0
Reggie Jackson	18086.956
Julius Randle	18000.0
Myles Turner	18000.0
Gary Harris	17839.286
Derrick Favors	17650.0
Andre Iguodala	17185.185
Bojan Bogdanovic	17000.0
Evan Fournier	17000.0
Bismack Biyombo	17000.0
Clint Capela	16896.552
Gorgui Dieng	16229.213
Ricky Rubio	16200.0
Jonas Valanciunas	16000.0
Brandon Knight	15643.75
Eric Bledsoe	15625.0
Kelly Oubre	15625.0
Dennis Schroeder	15500.0
Ian Mahinmi	15450.051
James Johnson	15349.4
Marvin Williams	15006.25
Marcus Morris	15000.0
Bobby Portis	15000.0
Danny Green	14634.147
Rudy Gay	14500.0
Cody Zeller	14471.91
Eric Gordon	14057.73
Mason Plumlee	14041.096
JJ Redick	13486.3
Jordan Clarkson	13437.5
Dewayne Dedmon	13333.334
Solomon Hill	13290.395
Justise Winslow	13000.0
Michael Kidd-Gilchrist	13000.0
Thaddeus Young	12900.0
Will Barton	12776.786
Courtney Lee	12759.67
Larry Nance Jr	12727.273
Kelly Olynyk	12667.885
Marcus Smart	12553.571
Terrence Ross	12500.0
Patrick Mills	12428.571
Miles Plumlee	12400.0
Patrick Beverley	12345.68
Trevor Ariza	12200.0
Dion Waiters	12100.0
Brook Lopez	12093.024
Jusuf Nurkic	12000.0
Cory Joseph	12000.0
Joe Ingles	11454.546
Tony Snell	11392.857
Robert Covington	11301.219
Meyers Leonard	11286.515
Moe Harkless	11011.234
TJ Warren	10810.0
Andre Roberson	10740.74
Spencer Dinwiddie	10605.6
Jeremy Lamb	10500.0
Dwight Powell	10259.375
George Hill	10133.907
Josh Richardson	10116.576
Norman Powell	10116.576
Tomas Satoransky	10000.0
Nenê	10000.0
DeAndre Jordan	9881.598
Zion Williamson	9757.44
Markelle Fultz	9745.2
John Henson	9732.396
Matthew Dellavedova	9607.5
Dante Exum	9600.0
Deandre Ayton	9562.92
Delon Wright	9473.684
Jerami Grant	9346.153
Fred VanVleet	9346.153
Al-Farouq Aminu	9258.0
Tyus Jones	9258.0
Kyle Anderson	9073.05
Taj Gibson	9000.0
Ja Morant	8730.24
CJ Miles	8730.158
Lonzo Ball	8719.32
E'Twaun Moore	8664.928
Marvin Bagley	8556.12
Bogdan Bogdanovic	8529.386
PJ Tucker	8349.039
Cristiano Felicio	8156.5
Ben Simmons	8113.929
Kentavious Caldwell-Pope	8089.282
Thomas Bryant	8000.0
Maxi Kleber	8000.0
Louis Williams	8000.0
Wayne Ellington	8000.0
Elfrid Payton	8000.0
RJ Barrett	7839.96
Jayson Tatum	7830.0
Jae Crowder	7815.533
Luka Doncic	7683.36
Joe Harris	7666.667
Pau Gasol	7639.609
Seth Curry	7461.38
Doug McDermott	7333.333
Langston Galloway	7333.333
Derrick Rose	7317.074
Brandon Ingram	7265.485
Darius Miller	7250.0
DJ Augustin	7250.0
De'Andre Hunter	7068.36
Josh Jackson	7059.48
Ersan Ilyasova	7000.0
DeMarre Carroll	7000.0
Davis Bertans	7000.0
Jaren Jackson	6927.48
Nemanja Bjelica	6825.0
Avery Bradley	6767.0
Jaylen Brown	6534.829
Jabari Parker	6500.0
Ivica Zubac	6481.482
Joakim Noah	6431.666
Darius Garland	6400.92
De'Aaron Fox	6392.76
Trae Young	6273.0
Kyle Korver	6004.753
Ishmael Smith	6000.0
Montrezl Harrell	6000.0
Marco Belinelli	5846.154
Jarrett Culver	5813.64
